DATE,SOFR30DAYAVG
2019-12-06,1.57763
2019-12-09,1.5763
2019-12-10,1.5763
2019-12-11,1.57597
2019-12-12,1.5753
2019-12-13,1.57397
2019-12-16,1.56996
2019-12-17,1.57096
2019-12-18,1.56929
2019-12-19,1.56829
2019-12-20,1.56696
2019-12-23,1.56228
2019-12-24,1.56028
2019-12-25,.
2019-12-26,1.55694
2019-12-27,1.55628
2019-12-30,1.55094
2019-12-31,1.54727
2020-01-01,.
2020-01-02,1.54126
2020-01-03,1.54092
2020-01-06,1.54126
2020-01-07,1.54126
2020-01-08,1.54159
2020-01-09,1.54126
2020-01-10,1.54126
2020-01-13,1.54259
2020-01-14,1.54259
2020-01-15,1.54293
2020-01-16,1.54092
2020-01-17,1.54126
2020-01-20,.
2020-01-21,1.54259
2020-01-22,1.54292
2020-01-23,1.54359
2020-01-24,1.54426
2020-01-27,1.54492
2020-01-28,1.54493
2020-01-29,1.54493
2020-01-30,1.54459
2020-01-31,1.5456
2020-02-03,1.55093
2020-02-04,1.55227
2020-02-05,1.55394
2020-02-06,1.55527
2020-02-07,1.55627
2020-02-10,1.55928
2020-02-11,1.56028
2020-02-12,1.56128
2020-02-13,1.56228
2020-02-14,1.56295
2020-02-17,.
2020-02-18,1.56729
2020-02-19,1.56929
2020-02-20,1.57096
2020-02-21,1.57296
2020-02-24,1.5773
2020-02-25,1.57897
2020-02-26,1.58097
2020-02-27,1.58264
2020-02-28,1.58431
2020-03-02,1.58731
2020-03-03,1.5869799999999998
2020-03-04,1.58831
2020-03-05,1.5763
2020-03-06,1.56028
2020-03-09,1.51155
2020-03-10,1.4952
2020-03-11,1.4795200000000002
2020-03-12,1.46517
2020-03-13,1.45248
2020-03-16,1.4051
2020-03-17,1.36105
2020-03-18,1.32635
2020-03-19,1.2769700000000002
2020-03-20,1.22558
2020-03-23,1.07044
2020-03-24,1.0184
2020-03-25,0.9660200000000001
2020-03-26,0.91365
2020-03-27,0.86095
2020-03-30,0.70318
2020-03-31,0.6501600000000001
2020-04-01,0.59713
2020-04-02,0.5444399999999999
2020-04-03,0.49008999999999997
2020-04-06,0.37605
2020-04-07,0.33971
2020-04-08,0.30336
2020-04-09,0.26736
2020-04-10,.
2020-04-13,0.11667000000000001
2020-04-14,0.08067
2020-04-15,0.046
2020-04-16,0.03833
2020-04-17,0.021330000000000002
2020-04-20,0.017669999999999998
2020-04-21,0.017
2020-04-22,0.016
2020-04-23,0.01567
2020-04-24,0.01567
2020-04-27,0.017669999999999998
2020-04-28,0.018330000000000003
2020-04-29,0.018330000000000003
2020-04-30,0.018330000000000003
2020-05-01,0.01933
2020-05-04,0.021330000000000002
2020-05-05,0.02267
2020-05-06,0.024
2020-05-07,0.025330000000000002
2020-05-08,0.02667
2020-05-11,0.03167
2020-05-12,0.03333
2020-05-13,0.035
2020-05-14,0.03567
2020-05-15,0.03433
2020-05-18,0.03633
2020-05-19,0.03667
2020-05-20,0.037
2020-05-21,0.03667
2020-05-22,0.037
2020-05-25,.
2020-05-26,0.03967
2020-05-27,0.04067
2020-05-28,0.04167
2020-05-29,0.04333
2020-06-01,0.046669999999999996
2020-06-02,0.04767
2020-06-03,0.049
2020-06-04,0.04933
2020-06-05,0.05
2020-06-08,0.05167000000000001
2020-06-09,0.052
2020-06-10,0.05267
2020-06-11,0.053
2020-06-12,0.05367
2020-06-15,0.058
2020-06-16,0.059329999999999994
2020-06-17,0.06067
2020-06-18,0.062329999999999997
2020-06-19,0.064
2020-06-22,0.07067000000000001
2020-06-23,0.072
2020-06-24,0.073
2020-06-25,0.07434
2020-06-26,0.07534
2020-06-29,0.07733999999999999
2020-06-30,0.078
2020-07-01,0.07934
2020-07-02,0.081
2020-07-03,.
2020-07-06,0.08667000000000001
2020-07-07,0.08767
2020-07-08,0.08867
2020-07-09,0.08967
2020-07-10,0.09034
2020-07-13,0.09267
2020-07-14,0.09333999999999999
2020-07-15,0.09434
2020-07-16,0.09567
2020-07-17,0.09667
2020-07-20,0.09967000000000001
2020-07-21,0.10067000000000001
2020-07-22,0.10134
2020-07-23,0.102
2020-07-24,0.103
2020-07-27,0.10467
2020-07-28,0.10534
2020-07-29,0.106
2020-07-30,0.10634
2020-07-31,0.10634
2020-08-03,0.10534
2020-08-04,0.105
2020-08-05,0.10434
2020-08-06,0.104
2020-08-07,0.10367
2020-08-10,0.10267000000000001
2020-08-11,0.10234
2020-08-12,0.10234
2020-08-13,0.102
2020-08-14,0.10134
2020-08-17,0.098
2020-08-18,0.09734
2020-08-19,0.09634
2020-08-20,0.09534
2020-08-21,0.094
2020-08-24,0.091
2020-08-25,0.09034
2020-08-26,0.08967
2020-08-27,0.08867
2020-08-28,0.08767
2020-08-31,0.085
2020-09-01,0.08467000000000001
2020-09-02,0.08434
2020-09-03,0.084
2020-09-04,0.08434
2020-09-07,.
2020-09-08,0.08434
2020-09-09,0.08434
2020-09-10,0.08434
2020-09-11,0.084
2020-09-14,0.084
2020-09-15,0.084
2020-09-16,0.08434
2020-09-17,0.08434
2020-09-18,0.08467000000000001
2020-09-21,0.086
2020-09-22,0.08634
2020-09-23,0.08634
2020-09-24,0.08567000000000001
2020-09-25,0.08534
2020-09-28,0.08634
2020-09-29,0.08667000000000001
2020-09-30,0.08667000000000001
2020-10-01,0.08634
2020-10-02,0.086
2020-10-05,0.08667000000000001
2020-10-06,0.08667000000000001
2020-10-07,0.087
2020-10-08,0.087
2020-10-09,0.08667000000000001
2020-10-12,.
2020-10-13,0.08667000000000001
2020-10-14,0.08667000000000001
2020-10-15,0.08667000000000001
2020-10-16,0.08667000000000001
2020-10-19,0.086
2020-10-20,0.086
2020-10-21,0.08567000000000001
2020-10-22,0.08534
2020-10-23,0.08534
2020-10-26,0.08634
2020-10-27,0.08667000000000001
2020-10-28,0.087
2020-10-29,0.087
2020-10-30,0.08767
2020-11-02,0.088
2020-11-03,0.08834
2020-11-04,0.08834
2020-11-05,0.08867
2020-11-06,0.089
2020-11-09,0.09034
2020-11-10,0.09067
2020-11-11,.
2020-11-12,0.09134
2020-11-13,0.09134
2020-11-16,0.091
2020-11-17,0.09134
2020-11-18,0.09134
2020-11-19,0.09067
2020-11-20,0.09
2020-11-23,0.08767
2020-11-24,0.08667000000000001
2020-11-25,0.08634
2020-11-26,.
2020-11-27,0.08567000000000001
2020-11-30,0.085
2020-12-01,0.085
2020-12-02,0.08467000000000001
2020-12-03,0.08367000000000001
2020-12-04,0.083
2020-12-07,0.08167
2020-12-08,0.081
2020-12-09,0.08
2020-12-10,0.07934
2020-12-11,0.07867
2020-12-14,0.07733999999999999
2020-12-15,0.077
2020-12-16,0.077
2020-12-17,0.07667
2020-12-18,0.07667
2020-12-21,0.07967
2020-12-22,0.081
2020-12-23,0.08167
2020-12-24,0.082
2020-12-25,.
2020-12-28,0.08234
2020-12-29,0.08267000000000001
2020-12-30,0.08334
2020-12-31,0.08334
2021-01-01,.
2021-01-04,0.08167
2021-01-05,0.082
2021-01-06,0.08267000000000001
2021-01-07,0.08334
2021-01-08,0.08434
2021-01-11,0.08534
2021-01-12,0.08567000000000001
2021-01-13,0.08567000000000001
2021-01-14,0.08567000000000001
2021-01-15,0.08534
2021-01-18,.
2021-01-19,0.084
2021-01-20,0.08334
2021-01-21,0.08234
2021-01-22,0.08134
2021-01-25,0.079
2021-01-26,0.07833999999999999
2021-01-27,0.07667
2021-01-28,0.07467
2021-01-29,0.07267
2021-02-01,0.071
2021-02-02,0.071
2021-02-03,0.071
2021-02-04,0.07
2021-02-05,0.068
2021-02-08,0.060329999999999995
2021-02-09,0.058
2021-02-10,0.056670000000000005
2021-02-11,0.055670000000000004
2021-02-12,0.055
2021-02-15,.
2021-02-16,0.051
2021-02-17,0.05033
2021-02-18,0.04967
2021-02-19,0.04833
2021-02-22,0.04533
2021-02-23,0.04467
2021-02-24,0.04333
2021-02-25,0.042
2021-02-26,0.042
2021-03-01,0.038669999999999996
2021-03-02,0.03733
2021-03-03,0.03667
2021-03-04,0.03567
2021-03-05,0.034
2021-03-08,0.031330000000000004
2021-03-09,0.031330000000000004
2021-03-10,0.031330000000000004
2021-03-11,0.031330000000000004
2021-03-12,0.03
2021-03-15,0.025330000000000002
2021-03-16,0.024
2021-03-17,0.02267
2021-03-18,0.021330000000000002
2021-03-19,0.01967
2021-03-22,0.017
2021-03-23,0.016669999999999997
2021-03-24,0.01633
2021-03-25,0.01567
2021-03-26,0.01567
2021-03-29,0.014669999999999999
2021-03-30,0.014669999999999999
2021-03-31,0.014669999999999999
2021-04-01,0.01433
2021-04-02,.
2021-04-05,0.01167
2021-04-06,0.01133
2021-04-07,0.011
2021-04-08,0.01067
2021-04-09,0.010329999999999999
2021-04-12,0.01
2021-04-13,0.01
2021-04-14,0.01
2021-04-15,0.01
2021-04-16,0.01
2021-04-19,0.01
2021-04-20,0.01
2021-04-21,0.01
2021-04-22,0.01
2021-04-23,0.01
2021-04-26,0.01
2021-04-27,0.01
2021-04-28,0.01
2021-04-29,0.01
2021-04-30,0.01
2021-05-03,0.01
2021-05-04,0.01
2021-05-05,0.01
2021-05-06,0.01
2021-05-07,0.01
2021-05-10,0.01
2021-05-11,0.01
2021-05-12,0.01
2021-05-13,0.01
2021-05-14,0.01
2021-05-17,0.01
2021-05-18,0.01
2021-05-19,0.01
2021-05-20,0.01
2021-05-21,0.01
2021-05-24,0.01
2021-05-25,0.01
2021-05-26,0.01
2021-05-27,0.01
2021-05-28,0.01
2021-05-31,.
2021-06-01,0.01
2021-06-02,0.01
2021-06-03,0.01
2021-06-04,0.01
2021-06-07,0.01
2021-06-08,0.01
2021-06-09,0.01
2021-06-10,0.01
2021-06-11,0.01
2021-06-14,0.01
2021-06-15,0.01
2021-06-16,0.01
2021-06-17,0.01
2021-06-18,0.01133
2021-06-21,0.015330000000000002
2021-06-22,0.016669999999999997
2021-06-23,0.018
2021-06-24,0.01933
2021-06-25,0.020669999999999997
2021-06-28,0.024669999999999997
2021-06-29,0.026
2021-06-30,0.02733
2021-07-01,0.028669999999999998
2021-07-02,0.03
2021-07-05,.
2021-07-06,0.03533
2021-07-07,0.03667
2021-07-08,0.038
2021-07-09,0.039330000000000004
2021-07-12,0.04333
2021-07-13,0.04467
2021-07-14,0.046
2021-07-15,0.047330000000000004
2021-07-16,0.04867
2021-07-19,0.05
2021-07-20,0.05
2021-07-21,0.05
2021-07-22,0.05
2021-07-23,0.05
2021-07-26,0.05
2021-07-27,0.05
2021-07-28,0.05
2021-07-29,0.05
2021-07-30,0.05
2021-08-02,0.05
2021-08-03,0.05
2021-08-04,0.05
2021-08-05,0.05
2021-08-06,0.05
2021-08-09,0.05
2021-08-10,0.05
2021-08-11,0.05
2021-08-12,0.05
2021-08-13,0.05
2021-08-16,0.05
2021-08-17,0.05
2021-08-18,0.05
2021-08-19,0.05
2021-08-20,0.05
2021-08-23,0.05
2021-08-24,0.05
2021-08-25,0.05
2021-08-26,0.05
2021-08-27,0.05
2021-08-30,0.05
2021-08-31,0.05
2021-09-01,0.05
2021-09-02,0.05
2021-09-03,0.05
2021-09-06,.
2021-09-07,0.05
2021-09-08,0.05
2021-09-09,0.05
2021-09-10,0.05
2021-09-13,0.05
2021-09-14,0.05
2021-09-15,0.05
2021-09-16,0.05
2021-09-17,0.05
2021-09-20,0.05
2021-09-21,0.05
2021-09-22,0.05
2021-09-23,0.05
2021-09-24,0.05
2021-09-27,0.05
2021-09-28,0.05
2021-09-29,0.05
2021-09-30,0.05
2021-10-01,0.05
2021-10-04,0.05
2021-10-05,0.05
2021-10-06,0.05
2021-10-07,0.05
2021-10-08,0.05
2021-10-11,.
2021-10-12,0.05
2021-10-13,0.05
2021-10-14,0.05
2021-10-15,0.05
2021-10-18,0.05
2021-10-19,0.05
2021-10-20,0.04933
2021-10-21,0.04867
2021-10-22,0.048
2021-10-25,0.048
2021-10-26,0.04767
2021-10-27,0.04767
2021-10-28,0.04767
2021-10-29,0.04767
2021-11-01,0.04767
2021-11-02,0.04767
2021-11-03,0.04767
2021-11-04,0.04767
2021-11-05,0.04767
2021-11-08,0.04767
2021-11-09,0.04767
2021-11-10,0.04767
2021-11-11,.
2021-11-12,0.04767
2021-11-15,0.04767
2021-11-16,0.04767
2021-11-17,0.04767
2021-11-18,0.04767
2021-11-19,0.04833
2021-11-22,0.04967
2021-11-23,0.04967
2021-11-24,0.04967
2021-11-25,.
2021-11-26,0.05
2021-11-29,0.05
2021-11-30,0.05
2021-12-01,0.05
2021-12-02,0.05
2021-12-03,0.05
2021-12-06,0.05
2021-12-07,0.05
2021-12-08,0.05
2021-12-09,0.05
2021-12-10,0.05
2021-12-13,0.05
2021-12-14,0.05
2021-12-15,0.05
2021-12-16,0.05
2021-12-17,0.05
2021-12-20,0.05
2021-12-21,0.04967
2021-12-22,0.04967
2021-12-23,0.04967
2021-12-24,.
2021-12-27,0.04967
2021-12-28,0.04967
2021-12-29,0.04967
2021-12-30,0.04967
2021-12-31,0.04967
2022-01-03,0.04967
2022-01-04,0.04967
2022-01-05,0.04967
2022-01-06,0.04967
2022-01-07,0.04967
2022-01-10,0.04967
2022-01-11,0.04967
2022-01-12,0.04967
2022-01-13,0.04967
2022-01-14,0.04967
2022-01-17,.
2022-01-18,0.04967
2022-01-19,0.04967
2022-01-20,0.05
2022-01-21,0.04967
2022-01-24,0.04967
2022-01-25,0.04933
2022-01-26,0.04933
2022-01-27,0.049
2022-01-28,0.04867
2022-01-31,0.04867
2022-02-01,0.04867
2022-02-02,0.04867
2022-02-03,0.04867
2022-02-04,0.04867
2022-02-07,0.04867
2022-02-08,0.04867
2022-02-09,0.04867
2022-02-10,0.04833
2022-02-11,0.04833
2022-02-14,0.04833
2022-02-15,0.04833
2022-02-16,0.04833
2022-02-17,0.04833
2022-02-18,0.04833
2022-02-21,.
2022-02-22,0.04867
2022-02-23,0.04867
2022-02-24,0.049
2022-02-25,0.049
2022-02-28,0.04967
2022-03-01,0.04967
2022-03-02,0.04967
2022-03-03,0.04967
2022-03-04,0.04967
2022-03-07,0.04967
2022-03-08,0.04967
2022-03-09,0.04967
2022-03-10,0.04967
2022-03-11,0.04967
2022-03-14,0.05
2022-03-15,0.05
2022-03-16,0.05
2022-03-17,0.05
2022-03-18,0.05832999999999999
2022-03-21,0.08334
2022-03-22,0.09134
2022-03-23,0.099
2022-03-24,0.10634
2022-03-25,0.11367000000000001
2022-03-28,0.13667
2022-03-29,0.14434
2022-03-30,0.15200999999999998
2022-03-31,0.15934
2022-04-01,0.16734000000000002
2022-04-04,0.19235
2022-04-05,0.20068
2022-04-06,0.20901999999999998
2022-04-07,0.21735
2022-04-08,0.22569
2022-04-11,0.25069
2022-04-12,0.25903000000000004
2022-04-13,0.26703000000000005
2022-04-14,0.27503
2022-04-15,.
2022-04-18,0.29036999999999996
2022-04-19,0.29003
2022-04-20,0.28936999999999996
2022-04-21,0.2887
2022-04-22,0.28803
2022-04-25,0.2877
2022-04-26,0.28736999999999996
2022-04-27,0.28703
2022-04-28,0.28703
2022-04-29,0.28703
2022-05-02,0.28636999999999996
2022-05-03,0.28636999999999996
2022-05-04,0.28636999999999996
2022-05-05,0.28636999999999996
2022-05-06,0.3027
2022-05-09,0.35070999999999997
2022-05-10,0.36672
2022-05-11,0.38272
2022-05-12,0.39873000000000003
2022-05-13,0.4154
2022-05-16,0.46542
2022-05-17,0.48241999999999996
2022-05-18,0.49943000000000004
2022-05-19,0.5161
2022-05-20,0.5331100000000001
2022-05-23,0.5844600000000001
2022-05-24,0.60147
2022-05-25,0.61848
2022-05-26,0.63549
2022-05-27,0.6525
2022-05-30,.
2022-05-31,0.7192
2022-06-01,0.73621
2022-06-02,0.75289
2022-06-03,0.76923
2022-06-06,0.78491
2022-06-07,0.78491
2022-06-08,0.78457
2022-06-09,0.78391
2022-06-10,0.7829
2022-06-13,0.7792399999999999
2022-06-14,0.77723
2022-06-15,0.7739
2022-06-16,0.77056
2022-06-17,0.7922399999999999
2022-06-20,.
2022-06-21,0.8809600000000001
2022-06-22,0.9033100000000001
2022-06-23,0.92566
2022-06-24,0.94768
2022-06-27,1.0157200000000002
2022-06-28,1.03975
2022-06-29,1.06443
2022-06-30,1.08879
2022-07-01,1.11248
2022-07-04,.
2022-07-05,1.21022
2022-07-06,1.23558
2022-07-07,1.26094
2022-07-08,1.28663
2022-07-11,1.36438
2022-07-12,1.3904100000000001
2022-07-13,1.41677
2022-07-14,1.44347
2022-07-15,1.4715
2022-07-18,1.5055399999999999
2022-07-19,1.50855
2022-07-20,1.51155
2022-07-21,1.5142200000000001
2022-07-22,1.51689
2022-07-25,1.5239
2022-07-26,1.52624
2022-07-27,1.52857
2022-07-28,1.52958
2022-07-29,1.55494
2022-08-01,1.63103
2022-08-02,1.6564
2022-08-03,1.6824400000000002
2022-08-04,1.7081400000000002
2022-08-05,1.73317
2022-08-08,1.8076
2022-08-09,1.83264
2022-08-10,1.85801
2022-08-11,1.88305
2022-08-12,1.90775
2022-08-15,1.98253
2022-08-16,2.00757
2022-08-17,2.03261
2022-08-18,2.05765
2022-08-19,2.08236
2022-08-22,2.15781
2022-08-23,2.18319
2022-08-24,2.20824
2022-08-25,2.23295
2022-08-26,2.25799
2022-08-29,2.28337
2022-08-30,2.2837099999999997
2022-08-31,2.28437
2022-09-01,2.28471
2022-09-02,2.28437
2022-09-05,.
2022-09-06,2.28503
2022-09-07,2.28536
2022-09-08,2.28536
2022-09-09,2.28503
2022-09-12,2.2850200000000003
2022-09-13,2.28503
2022-09-14,2.28503
2022-09-15,2.28436
2022-09-16,2.28403
2022-09-19,2.28269
2022-09-20,2.2823599999999997
2022-09-21,2.28169
2022-09-22,2.2806900000000003
2022-09-23,2.3047299999999997
2022-09-26,2.3761799999999997
2022-09-27,2.3999
2022-09-28,2.42328
2022-09-29,2.44666
2022-09-30,2.46903
2022-10-03,2.53816
2022-10-04,2.56189
2022-10-05,2.58695
2022-10-06,2.612
2022-10-07,2.63738
2022-10-10,.
2022-10-11,2.74024
2022-10-12,2.7659599999999998
2022-10-13,2.79135
2022-10-14,2.8167400000000002
2022-10-17,2.89357
2022-10-18,2.9196299999999997
2022-10-19,2.94536
2022-10-20,2.9710900000000002
2022-10-21,2.99682
2022-10-24,3.02454
2022-10-25,3.02522
2022-10-26,3.02622
2022-10-27,3.02756
2022-10-28,3.02956
2022-10-31,3.03724
2022-11-01,3.03959
2022-11-02,3.04193
2022-11-03,3.0436
2022-11-04,3.0689900000000003
2022-11-07,3.1445
2022-11-08,3.16891
2022-11-09,3.19332
2022-11-10,3.21771
2022-11-11,.
2022-11-14,3.31624
2022-11-15,3.3413199999999996
2022-11-16,3.3667199999999995
2022-11-17,3.39212
2022-11-18,3.4175199999999997
2022-11-21,3.49471
2022-11-22,3.5208
2022-11-23,3.5468699999999997
2022-11-24,.
2022-11-25,3.59867
2022-11-28,3.67487
2022-11-29,3.69996
2022-11-30,3.72536
2022-12-01,3.7511099999999997
2022-12-02,3.77685
2022-12-05,3.80292
2022-12-06,3.80327
2022-12-07,3.80327
2022-12-08,3.8039400000000003
2022-12-09,3.8046
2022-12-12,3.8066400000000002
2022-12-13,3.80732
2022-12-14,3.80799
2022-12-15,3.8083199999999997
2022-12-16,3.82571
2022-12-19,3.87751
2022-12-20,3.89424
2022-12-21,3.9109599999999998
2022-12-22,3.9276800000000005
2022-12-23,3.9444
2022-12-26,.
2022-12-27,4.0119
2022-12-28,4.02862
2022-12-29,4.04534
2022-12-30,4.061730000000001
2023-01-02,.
2023-01-03,4.12655
2023-01-04,4.143269999999999
2023-01-05,4.15966
2023-01-06,4.17671
2023-01-09,4.22786
2023-01-10,4.24493
2023-01-11,4.26199
2023-01-12,4.27871
2023-01-13,4.29544
2023-01-16,.
2023-01-17,4.31011
2023-01-18,4.309769999999999
2023-01-19,4.309769999999999
2023-01-20,4.31011
2023-01-23,4.31011
2023-01-24,4.3101400000000005
2023-01-25,4.31016
2023-01-26,4.31049
2023-01-27,4.31049
2023-01-30,4.31049
2023-01-31,4.31053
2023-02-01,4.31088
2023-02-02,4.31121
2023-02-03,4.31957
2023-02-06,4.34397
2023-02-07,4.35201
2023-02-08,4.360040000000001
2023-02-09,4.3680699999999995
2023-02-10,4.3761
2023-02-13,4.40118
2023-02-14,4.40958
2023-02-15,4.41796
2023-02-16,4.42632
2023-02-17,4.43435
2023-02-20,.
2023-02-21,4.4674
2023-02-22,4.47577
2023-02-23,4.48413
2023-02-24,4.49249
2023-02-27,4.5172300000000005
2023-02-28,4.5256099999999995
2023-03-01,4.53397
2023-03-02,4.54234
2023-03-03,4.55037
2023-03-06,4.55804
2023-03-07,4.55806
2023-03-08,4.55806
2023-03-09,4.55806
2023-03-10,4.55806
2023-03-13,4.55804
2023-03-14,4.55806
2023-03-15,4.55806
2023-03-16,4.55906
2023-03-17,4.55973
2023-03-20,4.55973
2023-03-21,4.559769999999999
2023-03-22,4.5597900000000005
2023-03-23,4.5597900000000005
2023-03-24,4.56815
2023-03-27,4.59322
2023-03-28,4.60194
2023-03-29,4.61164
2023-03-30,4.62101
2023-03-31,4.63004
2023-04-03,4.66213
2023-04-04,4.67186
2023-04-05,4.68123
2023-04-06,4.68992
2023-04-07,.
2023-04-10,4.72463
2023-04-11,4.73335
2023-04-12,4.74172
2023-04-13,4.7500800000000005
2023-04-14,4.75845
2023-04-17,4.78184
2023-04-18,4.79023
2023-04-19,4.79859
2023-04-20,4.80696
2023-04-21,4.81533
2023-04-24,4.82367
2023-04-25,4.82369
2023-04-26,4.82369
2023-04-27,4.82336
2023-04-28,4.82235
2023-05-01,4.819319999999999
2023-05-02,4.81734
2023-05-03,4.81533
2023-05-04,4.8143199999999995
2023-05-05,4.822019999999999
2023-05-08,4.84715
2023-05-09,4.85554
2023-05-10,4.86391
2023-05-11,4.872269999999999
2023-05-12,4.8806400000000005
2023-05-15,4.90571
2023-05-16,4.91443
2023-05-17,4.9228
2023-05-18,4.93116
2023-05-19,4.93953
2023-05-22,4.9646
2023-05-23,4.97299
2023-05-24,4.98136
2023-05-25,4.989719999999999
2023-05-26,4.99843
2023-05-29,.
2023-05-30,5.03215
2023-05-31,5.04052
2023-06-01,5.04955
2023-06-02,5.058590000000001
2023-06-05,5.06794
2023-06-06,5.06796
2023-06-07,5.06763
2023-06-08,5.06729
2023-06-09,5.06696
2023-06-12,5.0666
2023-06-13,5.0666199999999995
2023-06-14,5.0666199999999995
2023-06-15,5.06629
2023-06-16,5.0666199999999995
2023-06-19,.
2023-06-20,5.06655
2023-06-21,5.06655
2023-06-22,5.06655
2023-06-23,5.06655
2023-06-26,5.06588
2023-06-27,5.0656
2023-06-28,5.0652800000000004
2023-06-29,5.0652800000000004
2023-06-30,5.0652800000000004
2023-07-03,5.0666
2023-07-04,.
2023-07-05,5.065930000000001
2023-07-06,5.065930000000001
2023-07-07,5.06626
2023-07-10,5.06724
2023-07-11,5.0676
2023-07-12,5.06794
2023-07-13,5.06794
2023-07-14,5.06827
2023-07-17,5.06794
2023-07-18,5.06832
2023-07-19,5.0686800000000005
2023-07-20,5.0686800000000005
2023-07-21,5.06901
2023-07-24,5.06899
2023-07-25,5.06901
2023-07-26,5.06935
2023-07-27,5.06968
2023-07-28,5.07838
2023-07-31,5.10145
2023-08-01,5.10884
2023-08-02,5.1162
2023-08-03,5.12426
2023-08-04,5.13229
2023-08-07,5.15636
2023-08-08,5.16441
2023-08-09,5.17245
2023-08-10,5.18048
2023-08-11,5.18851
2023-08-14,5.21325
2023-08-15,5.22165
2023-08-16,5.23001
2023-08-17,5.23805
2023-08-18,5.24608
2023-08-21,5.27082
2023-08-22,5.27921
2023-08-23,5.28758
2023-08-24,5.29595
2023-08-25,5.30399
2023-08-28,5.31166
2023-08-29,5.3116900000000005
2023-08-30,5.3116900000000005
2023-08-31,5.31135
2023-09-01,5.31135
2023-09-04,.
2023-09-05,5.31261
2023-09-06,5.31295
2023-09-07,5.31295
2023-09-08,5.313280000000001
2023-09-11,5.31325
2023-09-12,5.313280000000001
2023-09-13,5.313280000000001
2023-09-14,5.313280000000001
2023-09-15,5.313280000000001
2023-09-18,5.31426
2023-09-19,5.31462
2023-09-20,5.31495
2023-09-21,5.31495
2023-09-22,5.31495
2023-09-25,5.31493
2023-09-26,5.31529
2023-09-27,5.31562
2023-09-28,5.31629
2023-09-29,5.31663
2023-10-02,5.31696
2023-10-03,5.31735
2023-10-04,5.31805
2023-10-05,5.31838
2023-10-06,5.31872
2023-10-09,.
2023-10-10,5.31964
2023-10-11,5.31998
2023-10-12,5.32031
2023-10-13,5.32064
2023-10-16,5.32129
2023-10-17,5.3213099999999995
2023-10-18,5.3213099999999995
2023-10-19,5.3209800000000005
2023-10-20,5.32064
2023-10-23,5.32062
2023-10-24,5.32064
2023-10-25,5.32064
