,principal component 1
254,2.3141483320194967
255,2.3337311653434734
256,2.334297021393819
257,2.346146593905647
258,2.372133751861327
259,2.4132413942701993
260,2.420825564417228
261,2.4341029929585587
262,2.4488682684311653
263,2.466450726237417
264,2.478070560101199
265,2.5035019405430865
266,2.508777684000042
267,2.549767861928266
268,2.577031486108259
269,2.6430071039792895
270,2.672379009885593
271,2.7198648616269856
272,2.7197122068577833
273,2.785504259727936
274,2.79613437775771
275,2.99035317548116
276,3.0105128032668578
277,3.103607475821194
278,3.192693637269919
279,3.264194565688416
280,3.2649996867971516
281,3.2731190534938746
282,3.2872436665461917
283,3.3195047241735134
284,3.328339305974983
285,3.349951905013782
286,3.391397876018792
287,3.409153718426594
288,3.4423835024006553
289,3.460272566049963
290,3.5091979105940165
291,3.5213693131993127
292,3.525447517262252
293,3.5337493165614298
294,3.5626387473659475
295,3.5798337227307635
296,3.580671274080999
297,3.5925242217168267
298,3.598357714398997
299,3.6104077729151607
300,3.616511157907064
301,3.6233082784948736
302,3.6364676672855243
303,3.6512765438252157
304,3.7224013148657593
305,3.7691140750409318
306,3.8129947147233123
307,3.81496161644352
308,3.8242103929619735
309,3.855158442670389
310,3.8673998725281225
311,3.873757492684112
312,3.9660303583047245
313,4.031326984271826
314,4.151602142166183
315,4.171639113395872
316,4.206038879168032
317,4.220334875328262
318,4.230212246616322
319,4.341942666379641
320,4.4256788173012245
321,4.4411367808507265
322,4.456683886108853
323,4.48150179932454
324,4.491663354630959
325,4.499897640975622
326,4.546106733585944
327,4.563499669333115
328,4.571694897155667
329,4.5869483302664875
330,4.599210543670884
331,4.614635055175374
332,4.662359452771378
333,4.672685468904712
334,4.732664682463873
335,4.7463796900367585
336,4.751506304262103
337,4.815970159527803
338,4.834900304929752
339,4.863258520842829
340,4.963410447875497
341,5.053283433111908
